,Unnamed: 0,Source 1,Source 1.1,Therapeutic Area in CTMS,TA Code in Directory,Compound,Study,DPN(Compound-Study),Exist in File Size Extract,new studies,Study Status,DM CRO for AWS SAS,Snapshot Flag,Other Flag,Status,Phase,Protocol Approval,FPFV,LPLV Final,Last DBL,Final CSR,Data Scenario
0,15,A,A,Immunoscience,jN,165,661,jN165-661,Yes,,Not Applicable,Not Available,*Closed,Not Available,Active,Phase I,,21/04/2006,,,,7
1,17,A,A,Immunoscience,jN,165,61,jN165-061,Yes,,Not Applicable,Not Available,*Closed,Not Available,Active,Phase II,,17/04/2008,,,,7
2,19,A,A,Cardiovascular,gt,396,204,gt396-204,Yes,,Not Applicable,Not Available,Active,Not Available,Operationally Closed,Phase III,08/07/1999,15/02/1999,15/02/2002,11/03/2002,04/12/2003,1e
3,307,A,B,Cardiovascular,gt,710,661,gt710-661,Yes,,Not Applicable,Not Available,Not Applicable,Not Available,Operationally Closed,Phase I,28/02/2003,24/11/2003,22/02/2004,10/01/2006,30/06/2006,1d
4,308,A,B,Cardiovascular,gt,62,661,gt062-661,Yes,,Not Applicable,Not Available,Not Applicable,Not Available,Operationally Closed,Phase I,15/10/2002,04/12/2002,02/02/2003,18/06/2004,06/10/2005,1d
5,310,A,B,Cardiovascular,gt,710,61,gt710-061,Yes,,Not Applicable,Not Available,Not Applicable,Not Available,Operationally Closed,Phase I,09/08/2004,09/05/2005,08/11/2005,16/02/2006,29/06/2006,1d
6,311,A,B,Cardiovascular,gt,233,980,gt233-980,Yes,,Not Applicable,Not Available,Not Applicable,Not Available,Operationally Closed,Phase I,16/12/2002,13/03/2003,30/04/2003,18/02/2005,14/12/2005,1d
7,312,A,B,Cardiovascular,gt,233,733,gt233-733,Yes,,Not Applicable,Not Available,Not Applicable,Not Available,Operationally Closed,Phase I,02/10/2003,13/10/2003,21/11/2003,23/03/2005,11/04/2006,1d
8,314,A,B,Cardiovascular,gt,233,450,gt233-450,Yes,,Not Applicable,Not Available,Not Applicable,Not Available,Operationally Closed,Phase I,29/07/2003,23/08/2003,05/09/2003,16/07/2004,06/06/2005,1d
9,315,A,B,Cardiovascular,gt,233,166,gt233-166,Yes,,Not Applicable,Not Available,Not Applicable,Not Available,Operationally Closed,Phase I,11/11/2003,04/12/2003,24/12/2003,30/08/2004,09/02/2005,1d
10,317,A,B,Virology,lo,846,992,lo846-992,Yes,,Not Applicable,Not Available,Not Applicable,Study not in Extract,Operationally Closed,Phase I,20/01/2004,28/01/2004,03/03/2004,12/05/2004,06/04/2005,1e
11,322,A,B,Virology,lo,846,456,lo846-456,Yes,,Not Applicable,Not Available,Not Applicable,Study not in Extract,Operationally Closed,Phase I,05/04/2004,18/05/2004,27/06/2004,18/10/2004,05/04/2005,1e
12,323,A,B,Virology,lo,846,718,lo846-718,Yes,,Not Applicable,Not Available,Not Applicable,Study not in Extract,Operationally Closed,Phase I,28/05/2004,08/06/2004,29/06/2004,05/11/2004,25/04/2005,1e
13,332,A,B,Neuroscience,JB,395,198,JB395-198,Yes,,Not Applicable,Not Available,Not Applicable,Study not in Extract,Operationally Closed,Phase I,16/02/2005,14/04/2005,09/07/2005,07/09/2005,11/11/2005,1e
14,335,A,B,Cardiovascular,gt,233,350,gt233-350,Yes,,Not Applicable,Not Available,Not Applicable,Not Available,Operationally Closed,Phase II,22/03/2001,09/07/2001,02/02/2003,28/03/2003,31/03/2004,1d
15,353,A,A,Oncology,DN,296,861,DN296-861,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase III,22/12/2008,19/05/2009,31/10/2013,13/02/2014,26/09/2014,1d
16,354,A,A,Immunoscience,jN,342,937,jN342-937,No,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase II/III,07/09/2007,28/11/2007,18/01/2011,11/04/2011,26/08/2011,1d
17,355,A,A,Neuroscience,JB,377,841,JB377-841,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,20/04/2012,20/03/2013,30/12/2013,04/03/2014,08/12/2014,1d
18,356,A,A,Oncology,DN,163,97,DN163-097,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase IIA,17/10/2013,12/12/2013,24/02/2015,07/04/2015,28/01/2016,1d
19,357,A,A,Virology,lo,666,456,lo666-456,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase III,18/10/2013,13/12/2013,26/11/2014,29/01/2015,17/06/2015,1d
20,358,A,A,Oncology,DN,53,819,DN053-819,No,,Not Applicable,Not Available,Active,Not Available,Operationally Closed,Phase IV,22/12/2014,06/01/2015,21/12/2015,,24/02/2016,7
21,359,A,A,Virology,lo,45,468,lo045-468,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase II,07/01/2011,31/03/2011,01/09/2014,14/10/2014,01/04/2015,1d
22,360,A,A,Virology,lo,672,951,lo672-951,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase III,20/11/2013,17/03/2014,05/01/2016,18/02/2016,09/06/2016,1d
23,361,A,A,Virology,lo,666,590,lo666-590,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase III,23/01/2014,01/07/2014,09/09/2015,15/10/2015,22/12/2015,1d
24,362,A,A,Virology,lo,672,958,lo672-958,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase III,25/11/2013,28/01/2014,29/12/2014,09/01/2015,26/05/2015,1d
25,363,A,A,Oncology,DN,296,394,DN296-394,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,09/11/2009,04/02/2010,10/06/2014,24/10/2014,19/02/2015,1d
26,364,A,A,Virology,lo,666,373,lo666-373,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,22/03/2013,17/05/2013,16/06/2013,12/08/2013,29/01/2014,1d
27,365,A,A,Cardiovascular,gt,967,468,gt967-468,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,04/06/2012,20/11/2012,17/06/2013,02/10/2013,26/02/2014,1d
28,366,A,A,Oncology,DN,53,68,DN053-068,No,,Not Applicable,Not Available,Active,Not Available,Operationally Closed,Pre-clinical,,,,,10/11/2014,7
29,367,A,A,Virology,lo,852,661,lo852-661,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,12/09/2011,09/11/2011,07/05/2012,25/02/2013,02/04/2013,1d
30,368,A,A,Virology,lo,666,450,lo666-450,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase IIB,04/08/2010,01/10/2010,06/11/2012,03/04/2013,04/11/2013,1d
31,369,A,A,Oncology,DN,296,767,DN296-767,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,15/01/2012,01/04/2012,07/11/2013,26/02/2014,08/06/2014,1d
32,370,A,A,Cardiovascular,gt,279,450,gt279-450,Yes,,Not Applicable,Yes,*Closed,Not Available,Operationally Closed,Phase I,19/09/2016,17/11/2016,24/06/2017,23/08/2017,27/06/2018,2a
33,371,A,A,Virology,lo,672,415,lo672-415,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase III,11/10/2011,13/12/2011,10/09/2014,27/10/2014,01/04/2015,1d
34,372,A,A,Neuroscience,JB,803,61,JB803-061,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase IIB,27/07/2011,25/10/2011,04/05/2012,14/06/2012,02/04/2013,1d
35,373,A,A,Virology,lo,166,324,lo166-324,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,26/09/2012,08/10/2012,18/12/2012,28/02/2013,11/08/2013,1d
36,374,A,A,Oncology,DN,709,839,DN709-839,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,01/10/2008,01/04/2009,14/06/2012,06/11/2012,16/05/2013,1d
37,375,A,A,Oncology,DN,709,179,DN709-179,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,13/04/2009,05/10/2009,11/12/2012,29/05/2013,30/09/2013,1d
38,376,A,A,Virology,lo,45,572,lo045-572,Yes,,Not Applicable,Yes,*Closed,Not Available,Operationally Closed,Phase I,21/08/2012,17/09/2012,07/02/2013,17/04/2013,06/11/2013,2a
39,377,A,A,Virology,lo,960,661,lo960-661,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,19/12/2011,02/01/2012,05/02/2013,12/04/2013,03/02/2014,1d
40,378,A,A,Virology,lo,45,980,lo045-980,Yes,,Not Applicable,Yes,*Closed,Not Available,Operationally Closed,Phase I,27/08/2012,11/09/2012,27/03/2013,16/07/2013,28/03/2014,2a
41,379,A,A,Virology,lo,166,511,lo166-511,Yes,,Not Applicable,Yes,*Closed,Not Available,Operationally Closed,Phase I,13/01/2013,01/02/2013,08/04/2013,21/06/2013,31/10/2013,2a
42,380,A,A,Virology,lo,45,861,lo045-861,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase III,31/08/2012,08/04/2013,25/09/2014,28/10/2014,08/10/2015,1d
43,381,A,A,Oncology,DN,709,33,DN709-033,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,16/11/2011,07/02/2012,07/04/2012,07/06/2012,30/11/2012,1d
44,382,A,A,Oncology,DN,753,608,DN753-608,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase OTH,30/03/2011,03/08/2011,30/03/2015,20/04/2015,03/06/2015,7
45,383,A,A,Cardiovascular,gt,58,268,gt058-268,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase IIA,18/11/2010,20/05/2011,13/06/2012,30/07/2012,04/02/2013,1d
46,384,A,A,Cardiovascular,gt,868,950,gt868-950,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,PHASE 0,17/12/2014,10/07/2015,08/08/2018,15/11/2018,05/09/2019,1d
47,385,A,A,Oncology,DN,178,461,DN178-461,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,01/11/2011,15/12/2011,23/06/2014,22/09/2014,05/02/2015,1d
